Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2011-01-01,Utah,30.208333,48,23,45,0.01125,0.028,9,24,1.0104165,1.55,22.5,0.5,0.5112939999999999,1.2,22.5,5
2011-01-02,Utah,35,49,23,46,0.012333,0.028,9,24,1.3479165,2,14,1.5,0.5395835,1.15,1,6.5
2011-01-03,Utah,34.958333,53,23,50,0.011417,0.025,10,21,1.4666665,2.2,10.5,1.5,0.4645835,0.85,21.5,4
2011-01-04,Utah,48.47619,58,17,55,0.0035,0.011,12,9,1.4178570000000001,2.1,15.5,1.5,0.6646825000000001,0.9,11,4.5
2011-01-05,Utah,52.590909,61,21,58,0.003917,0.011,10,9,1.574026,2,22.5,1.5,1.0736745,1.65,8.5,8
2011-01-06,Utah,55.541667,68,10,66,0.003708,0.01,9,8,1.775,2.4000000000000004,9.5,1.5,1.102083,1.95,9.5,9
2011-01-07,Utah,54.333333,61,12,58,0.0045,0.012,9,10,1.4375,2.3,13,1.5,0.7229165,0.9,11,4.5
2011-01-08,Utah,53.541667,61,12,58,0.004542,0.008,9,7,1.4229165,1.9,8.5,1.5,0.683333,0.8500000000000001,7,4.5
2011-01-09,Utah,29.833333,49,23,46,0.011375,0.021,10,18,1.0354165,1.4,11,0.5,0.4125,0.75,4,3
2011-01-10,Utah,34.041667,50,0,47,0.01025,0.024,10,20,1.0166665,1.25,5.5,0.5,0.5104165,0.75,7,3.5
2011-01-11,Utah,42.409091,56,23,53,0.005167,0.014,9,12,1.3363635,2.2,23,1.5,0.7327655,1.35,22.5,6.5
2011-01-12,Utah,50.954545,62,3,60,0.002417,0.007,9,6,2.2314935,4.15,10.5,3,0.877841,1.25,2,7
2011-01-13,Utah,44.652174,57,19,54,0.003875,0.009,9,8,1.8745345,3.6,13,3,0.6977355000000001,1.4500000000000002,10.5,6.5
2011-01-14,Utah,39.583333,53,14,50,0.003667,0.011,9,9,1.7145835,2.4000000000000004,14,1.5,0.6979165,1.1,21.5,5
2011-01-15,Utah,36.125,47,16,44,0.0035,0.009,8,8,1.6458335,2.2,1,1.5,0.7458335,1.2,0,5.5
2011-01-16,Utah,39.333333,47,6,44,0.001708,0.004,8,3,1.2666665,1.45,11.5,0.5,0.7604165,1.1,20,5.5
2011-01-17,Utah,29.541667,39,22,37,0.008208,0.02,13,17,1.1833335,1.7000000000000002,10.5,0.5,0.6270835,1.25,4,5.5
2011-01-18,Utah,30.125,41,20,39,0.011708,0.021,9,18,1.0895834999999998,1.85,8,1.5,0.66875,1.85,8.5,7
2011-01-19,Utah,16,32,23,30,0.021208,0.031,9,26,0.8854165,1.2000000000000002,15,0.5,0.26875,0.5,4,3
2011-01-20,Utah,24.909091,40,8,38,0.012917,0.03,10,25,0.925325,1.35,8,0.5,0.42272750000000003,1,9.5,3.5
2011-01-21,Utah,35.809524,44,8,42,0.007944,0.014,12,12,1.1666664999999998,1.8,8,1.5,0.656746,1.7999999999999998,10,7
2011-01-22,Utah,22.916667,38,8,36,0.015875,0.035,10,30,0.98125,1.25,8,0.5,0.45,1,8.5,4
2011-01-23,Utah,23.625,39,20,37,0.014875,0.033,10,28,0.8916664999999999,1.05,10,0.5,0.40625,0.75,1,4
2011-01-24,Utah,35.083333,45,8,42,0.007,0.019,10,16,1.4270835000000002,2.25,8,1.5,0.7729165,2.2,8.5,7.5
2011-01-25,Utah,40.454545,48,17,45,0.001875,0.005,7,4,1.162879,1.6,22,0.5,0.6640155,1.25,21.5,5.5
2011-01-26,Utah,36.772727,44,5,42,0.003625,0.011,10,9,1.2348485,1.6,23,0.5,0.7172345,1.15,11.5,5.5
2011-01-27,Utah,31.826087,38,8,36,0.006,0.015,10,13,1.465528,1.9500000000000002,21.5,1.5,0.6502715,1.3,3.5,5
2011-01-28,Utah,34,40,6,38,0.005792,0.013,9,11,1.1895835,2,12.5,1.5,0.40208299999999997,0.55,9,3
2011-01-29,Utah,34.043478,39,22,37,0.004708,0.012,9,10,1.3419254999999999,2.45,14,2,0.3725545,0.45,10.5,2.5
2011-01-30,Utah,27.875,39,0,37,0.004042,0.009,10,8,1.3166665000000002,1.9500000000000002,5.5,1.5,0.3708335,0.45,0,2.5
2011-01-31,Utah,15.416667,28,7,26,0.025333,0.038,22,32,1.0270834999999998,1.6,13.5,0.5,0.239583,0.4,4,1.5
2011-02-01,Utah,4.636364,8,6,8,0.037792,0.04,9,34,0.9272724999999999,1.25,7,0.5,0.121591,0.2,3,1
2011-02-02,Utah,17.47619,41,21,39,0.019556,0.036,9,31,1.3,1.75,5.5,0.5,0.2433825,0.5,21,2.5
2011-02-03,Utah,29.333333,43,23,41,0.012542,0.026,10,22,1.3895835,2.25,11.5,1.5,0.4166665,0.75,8.5,3.5
2011-02-04,Utah,37.541667,51,18,48,0.005708,0.012,8,10,1.6229165,3.6,16,2,0.447917,0.6499999999999999,20,3.5
2011-02-05,Utah,28.75,42,20,40,0.011583,0.03,10,25,1.2125,1.75,22.5,0.5,0.508333,1.1,22.5,4.5
2011-02-06,Utah,24.173913,38,3,36,0.021833,0.039,11,33,1.067702,1.35,1,0.5,0.5372285,1.1,1,6.5
2011-02-07,Utah,14.833333,34,9,32,0.025625,0.032,11,27,0.875,1.1,16.5,0.5,0.3208335,0.65,7.5,3
2011-02-08,Utah,4.791667,10,3,9,0.035625,0.039,12,33,0.921118,1.4500000000000002,9.5,0.5,0.18125,0.25,0,1.5
2011-02-09,Utah,14.952381,36,6,34,0.020722,0.032,10,27,0.9619044999999999,1.35,13,0.5,0.2444445,0.4,6.5,1.5
2011-02-10,Utah,25.217391,38,7,36,0.012333,0.03,10,25,1.1065215,1.45,7.5,0.5,0.4684785,1.15,8,4.5
2011-02-11,Utah,30.208333,44,22,42,0.011042,0.029,10,25,1.2770834999999998,2.2,16.5,1.5,0.5791664999999999,1.1,7.5,4.5
2011-02-12,Utah,31.913043,45,19,42,0.011708,0.03,10,25,1.2798135,1.65,20,0.5,0.7174815,1.2,6,5
2011-02-13,Utah,26.5,41,19,39,0.015667,0.037,10,31,1.1729165,1.4500000000000002,8,0.5,0.48333349999999997,1,4,5.5
2011-02-14,Utah,25.304348,43,20,41,0.019208,0.039,10,33,1.1590065,1.75,8,0.5,0.4785325,1.15,8,4
2011-02-15,Utah,21,48,8,45,0.031417,0.048,23,41,1.144231,2.05,8,1.5,0.454167,1.6,8,4.5
2011-02-16,Utah,4.45,13,22,12,0.040235,0.049,3,42,4.175,17.950000000000003,14,25,0.1791175,0.25,11,1
2011-02-17,Utah,22.782609,39,6,37,0.02625,0.039,10,33,0.8996895,1.9,12,1.5,0.370471,0.75,9,3.5
2011-02-18,Utah,16.954545,37,20,35,0.032708,0.045,10,38,0.887121,1.05,19,0.5,0.3,0.55,10,2.5
2011-02-19,Utah,17.166667,34,5,32,0.028333,0.042,22,36,0.8270835000000001,0.95,2,0.5,0.31666649999999996,0.5,9,2.5
2011-02-20,Utah,12.173913,39,19,37,0.029375,0.04,0,34,0.8645835,1.85,16.5,1.5,0.25,0.5,20,2.5
2011-02-21,Utah,21.333333,36,7,34,0.020792,0.039,10,33,0.8458334999999999,0.95,8,0.5,0.3333335,0.55,7.5,3
2011-02-22,Utah,17.826087,40,0,38,0.029542,0.043,10,36,0.8857145,1.3,22,0.5,0.27626850000000003,0.45,0.5,2.5
2011-02-23,Utah,25.545455,45,22,42,0.019375,0.039,10,33,1.035606,1.2999999999999998,20.5,0.5,0.33134949999999996,0.6000000000000001,15,2.5
2011-02-24,Utah,28.25,41,7,39,0.014722,0.028,12,24,1.1020835,1.4,9,0.5,0.416667,0.7,8,3.5
2011-02-25,Utah,11.954545,27,0,25,0.038333,0.046,10,39,0.8613635,1.85,5.5,1.5,0.24715900000000002,0.35,4,1.5
2011-02-26,Utah,9.875,17,9,16,0.039625,0.044,11,37,0.8145835,0.95,10.5,0.5,0.22291650000000002,0.3,9.5,1.5
2011-02-27,Utah,10.833333,29,20,27,0.037458,0.048,10,41,0.9333335,1.65,10.5,0.5,0.20625,0.35,21.5,1.5
2011-02-28,Utah,23.708333,48,19,45,0.020208,0.04,9,34,1.0083335,1.55,23,0.5,0.4083335,0.9500000000000001,22.5,4.5
2011-03-01,Utah,36.363636,51,7,48,0.0108,0.031,12,26,1.3057895,1.9,8,1.5,0.7261365,1.45,7.5,5.5
2011-03-02,Utah,24.045455,43,1,41,0.027,0.039,11,33,1.011905,1.25,8,0.5,0.4132575,0.8,0.5,4.5
2011-03-03,Utah,18.73913,41,19,39,0.0215,0.039,9,33,1.0201864999999999,1.5,8,0.5,0.2957425,0.5,20,2.5
2011-03-04,Utah,18.75,37,7,35,0.024,0.044,10,37,0.9708335,1.25,7.5,0.5,0.37083299999999997,0.8999999999999999,7,3.5
2011-03-05,Utah,20.521739,39,7,37,0.025917,0.045,10,38,0.8785715000000001,1.05,7.5,0.5,0.346739,0.65,7,3
2011-03-06,Utah,19.083333,36,7,34,0.026167,0.04,9,34,0.875,1.05,1,0.5,0.30833350000000004,0.45,5,2.5
2011-03-07,Utah,18.25,34,18,32,0.024208,0.035,21,30,0.8895835000000001,1.2000000000000002,12.5,0.5,0.33125,0.5,8,2.5
2011-03-08,Utah,20.857143,43,7,41,0.022882,0.042,11,36,1.0404765,2.2,5.5,2,0.355159,0.8,8.5,3.5
2011-03-09,Utah,27.625,44,20,42,0.014917,0.031,11,26,1.0229165,1.35,15.5,0.5,0.4625,0.8,9,3.5
2011-03-10,Utah,17.652174,43,7,41,0.031542,0.045,13,38,0.91677,1.3,17,0.5,0.3711955,0.9,3.5,4
2011-03-11,Utah,15.708333,38,23,36,0.026333,0.042,10,36,1.3354165,3,10.5,2,0.2416665,0.4,8,1.5
2011-03-12,Utah,14.333333,34,0,32,0.028833,0.041,12,35,1.1875,1.85,15.5,1.5,0.2604165,0.45,0,2.5
2011-03-13,Utah,15.125,31,1,29,0.032458,0.051,9,43,0.8145835,0.8500000000000001,1,0,0.28125,0.45,2.5,2.5
2011-03-14,Utah,18.818182,41,7,39,0.019625,0.039,11,33,1.0555195,1.55,16,0.5,0.3458335,0.75,8,3.5
2011-03-15,Utah,26.916667,40,20,38,0.0195,0.037,23,31,1.1229165,1.6,16.5,0.5,0.48541650000000003,1,6.5,4
2011-03-16,Utah,5.227273,11,0,10,0.039917,0.042,2,36,0.8974025,2.3,14,2,0.1901515,0.30000000000000004,0,2.5
2011-03-17,Utah,12.041667,25,7,24,0.038833,0.045,19,38,0.9750000000000001,2.3,10.5,1.5,0.233333,0.4,8,1.5
2011-03-18,Utah,10.272727,35,21,33,0.044042,0.051,12,43,1.006818,1.25,13,0.5,0.23484850000000002,0.35,15.5,1.5
2011-03-19,Utah,5.875,20,23,19,0.045208,0.051,3,43,1.0458335,1.2999999999999998,13.5,0.5,0.210417,0.3,11,1.5
2011-03-20,Utah,8.083333,21,7,20,0.040375,0.048,13,41,0.83125,0.95,11.5,0.5,0.2020835,0.25,0,1
2011-03-21,Utah,14.125,48,6,45,0.04025,0.052,13,44,0.9375,1.5,7,0.5,0.3520835,1.2,7.5,4
2011-03-22,Utah,9.772727,29,20,27,0.032208,0.041,9,35,0.860065,1,4.5,0.5,0.2477275,0.4,13.5,1.5
2011-03-23,Utah,12.25,39,6,37,0.040125,0.051,11,43,0.91875,1.2000000000000002,7,0.5,0.27708299999999997,0.6000000000000001,6.5,2.5
2011-03-24,Utah,6.681818,21,3,20,0.045667,0.051,23,43,0.8833335,2.2,9,2,0.2,0.25,4,1
2011-03-25,Utah,11.666667,30,20,28,0.034458,0.05,0,42,1.0395835,1.45,11.5,0.5,0.24375,0.4,17,1.5
2011-03-26,Utah,16.086957,37,6,35,0.037125,0.05,10,42,0.8490679999999999,0.95,5.5,0.5,0.2997285,0.45,0,2.5
2011-03-27,Utah,8.208333,26,5,25,0.043625,0.053,8,45,0.9333335,1.4,13.5,0.5,0.2125,0.35,8,1.5
2011-03-28,Utah,18.15,39,6,37,0.022706,0.034,13,29,0.95,1.45,19,0.5,0.3263235,0.55,6.5,2.5
2011-03-29,Utah,15.041667,44,6,42,0.031625,0.042,10,36,1.0625,1.65,17,0.5,0.295833,0.7,3,2.5
2011-03-30,Utah,20.571429,43,6,41,0.011333,0.022,12,19,1.025,1.25,7,0.5,0.351984,0.65,9,3
2011-03-31,Utah,13.708333,37,19,35,0.021292,0.038,10,32,1.0166665,1.5499999999999998,7,0.5,0.3708335,1.0499999999999998,6.5,4
2011-04-01,Utah,18.375,39,22,37,0.02575,0.045,10,38,1.1020835,1.55,7,0.5,0.337292,0.725,6.5,3
2011-04-02,Utah,12.304348,26,6,25,0.030917,0.041,22,35,1.0812499999999998,2.35,17,1.5,0.2420835,0.395,3,2.5
2011-04-03,Utah,9.541667,30,19,28,0.037625,0.046,8,39,0.925,1.25,10,0.5,0.2164585,0.355,19.5,1.5
2011-04-04,Utah,15.9,32,5,30,0.025824,0.043,13,36,0.87,0.95,7.5,0.5,0.296,0.505,6.5,2.5
2011-04-05,Utah,17,40,6,38,0.029542,0.045,20,38,1.0698759999999998,1.85,17,0.5,0.3289675,0.905,8.5,3.5
2011-04-06,Utah,8.5,27,5,25,0.050375,0.058,10,49,0.8604164999999999,0.95,9.5,0.5,0.22562500000000002,0.365,5.5,1.5
2011-04-07,Utah,10.958333,40,18,38,0.034625,0.048,0,41,0.9833335,2.4,13.5,1.5,0.2175,0.4,18,1.5
2011-04-08,Utah,23.142857,43,6,41,0.029583,0.04,20,34,0.860065,1.05,9.5,0.5,0.3720635,0.635,9,3
2011-04-09,Utah,12.458333,23,6,22,0.0355,0.044,10,37,0.80625,0.8500000000000001,4,0,0.24125000000000002,0.32999999999999996,11,1.5
2011-04-10,Utah,12,33,5,31,0.032167,0.048,11,41,0.8604164999999999,0.95,8.5,0.5,0.26291699999999996,0.445,6,2.5
2011-04-11,Utah,16.714286,35,5,33,0.024667,0.043,12,36,0.8857145,1.05,7,0.5,0.31539649999999997,0.63,8.5,3
2011-04-12,Utah,13.833333,33,6,31,0.033125,0.053,10,45,1.025,1.65,14,1.5,0.275833,0.53,6.5,2.5
2011-04-13,Utah,12.608696,36,6,34,0.037583,0.052,12,44,0.892857,1.15,7,0.5,0.2746195,0.585,6.5,2.5
2011-04-14,Utah,7.590909,25,7,24,0.042708,0.052,10,44,0.9948055,1.3,17,0.5,0.2013635,0.315,3.5,1
2011-04-15,Utah,15.583333,45,6,42,0.0395,0.061,11,54,1.18125,1.45,16.5,0.5,0.316875,0.745,7.5,3
2011-04-16,Utah,14.375,30,2,28,0.028542,0.043,10,36,1.1645835,1.4500000000000002,14.5,0.5,0.295625,0.42500000000000004,4,2.5
2011-04-17,Utah,9.391304,21,6,20,0.025083,0.035,9,30,1.397205,2.55,16.5,2,0.23074250000000002,0.32999999999999996,3,1.5
2011-04-18,Utah,16.285714,31,21,29,0.013167,0.021,23,18,1.138095,1.55,8.5,0.5,0.28555549999999996,0.515,22,2.5
2011-04-19,Utah,9.666667,24,20,23,0.031917,0.048,10,41,1.0520835000000002,1.25,6.5,0.5,0.241875,0.49,0,3
2011-04-20,Utah,19.608696,41,20,39,0.019875,0.038,11,32,0.9835404999999999,1.2999999999999998,7,0.5,0.3637315,0.76,8,3.5
2011-04-21,Utah,15.708333,33,6,31,0.027833,0.045,10,38,1.0083335,1.7,13,1.5,0.314167,0.725,7.5,3
2011-04-22,Utah,9.291667,28,20,26,0.041042,0.055,11,47,1.2625,2.6,7.5,2,0.2070835,0.37,3,1.5
2011-04-23,Utah,13.869565,32,2,30,0.040542,0.055,11,47,1.4310559999999999,3.95,8,3.5,0.2540035,0.345,0.5,1.5
2011-04-24,Utah,11.916667,34,1,32,0.040667,0.056,10,47,1.0145835,1.25,9.5,0.5,0.2602085,0.43000000000000005,2,2.5
2011-04-25,Utah,10.111111,18,6,17,0.0295,0.03,1,25,0.833333,0.9,7,0,0.211111,0.25,3,1
2011-04-27,Utah,6.846154,17,19,16,0.040333,0.048,10,41,1.1204545000000001,1.2999999999999998,17.5,0.5,0.17654799999999998,0.25,19,1
2011-04-28,Utah,12.304348,28,5,26,0.03975,0.05,9,42,1.0863355000000001,1.4,10,0.5,0.2511775,0.41000000000000003,6,1.5
2011-04-29,Utah,6.208333,12,19,11,0.039292,0.045,8,38,1.0625,1.5,7.5,0.5,0.2072915,0.33999999999999997,19,1.5
2011-04-30,Utah,8.416667,31,20,29,0.036,0.044,11,37,1.025,1.4,14,0.5,0.2214585,0.43000000000000005,15,1.5
2011-05-01,Utah,7.583333,31,6,29,0.040125,0.05,10,42,1.0666665000000002,1.6,7,0.5,0.216042,0.395,3.5,1.5
2011-05-02,Utah,16.8,37,6,35,0.034059,0.048,12,41,1.0575,1.35,7,0.5,0.273044,0.6799999999999999,8.5,3
2011-05-04,Utah,9.7,20,21,19,0.027778,0.048,12,41,1.0952380000000002,1.35,8,0.5,0.26373,0.405,3,1.5
2011-05-05,Utah,18.625,38,6,36,0.030125,0.05,10,42,1.2375,2.4,8,1.5,0.3172915,0.655,7,3
2011-05-06,Utah,14.875,31,6,29,0.031333,0.049,10,42,1.4020834999999998,1.9,8.5,1.5,0.2835415,0.515,6.5,2.5
2011-05-07,Utah,12.478261,23,4,22,0.036292,0.053,9,45,1.600932,2.9000000000000004,17.5,2,0.2622465,0.355,11,1.5
2011-05-08,Utah,5.916667,10,0,9,0.037125,0.041,10,35,1.2645835,2.7,8,2,0.200625,0.275,10,1.5
2011-05-09,Utah,9.041667,21,6,20,0.031708,0.038,0,32,0.9624999999999999,1.3,19,0.5,0.20166650000000003,0.25,3,1
2011-05-10,Utah,10,23,5,22,0.024417,0.034,9,29,0.9993510000000001,1.4,12.5,0.5,0.2388635,0.33499999999999996,3.5,1.5
2011-05-11,Utah,11.375,26,20,25,0.027208,0.044,11,37,1.1458335,2.1,17,1.5,0.24354199999999998,0.365,12.5,1.5
2011-05-12,Utah,13.208333,32,5,30,0.030458,0.051,10,43,1.2041665,2.75,19,2,0.26937500000000003,0.52,6.5,2.5
2011-05-13,Utah,13.681818,25,6,24,0.034208,0.057,11,48,1.2507575,1.85,19.5,1.5,0.24511349999999998,0.42500000000000004,6,1.5
2011-05-14,Utah,6.708333,23,1,22,0.042042,0.046,10,39,1.0083335,1.2999999999999998,13,0.5,0.1927085,0.295,1,1.5
2011-05-15,Utah,1.833333,6,19,6,0.04475,0.048,15,41,0.95625,1.4,20,0.5,0.12229200000000001,0.17,2,1
2011-05-16,Utah,4.052632,6,6,6,0.05025,0.056,12,47,1.345614,1.7999999999999998,4,0.5,0.12000000000000001,0.135,3,0.5
2011-05-17,Utah,10.75,28,7,26,0.03975,0.046,12,39,0.91875,1.05,6.5,0.5,0.19854149999999998,0.33499999999999996,9.5,1.5
2011-05-18,Utah,11.375,25,20,24,0.034375,0.037,0,31,0.9270835,1.15,23,0.5,0.22312500000000002,0.33999999999999997,20,1.5
2011-05-19,Utah,13.304348,22,21,21,0.029708,0.034,0,29,0.9425465,1.1,1,0.5,0.2514315,0.33999999999999997,4,1.5
2011-05-20,Utah,10.782609,28,6,26,0.029333,0.043,11,36,0.919565,1.05,11,0.5,0.242355,0.38,3.5,1.5
2011-05-21,Utah,8.208333,19,0,18,0.037458,0.054,10,46,1.0479165,1.5,11.5,0.5,0.20937499999999998,0.32999999999999996,3,1.5
2011-05-22,Utah,6.916667,19,2,18,0.042125,0.053,13,45,1.1270835,1.8499999999999999,15.5,1.5,0.198125,0.305,2,1.5
2011-05-23,Utah,10.190476,19,6,18,0.042333,0.053,12,45,0.934524,1.2000000000000002,16.5,0.5,0.2201585,0.32999999999999996,7,1.5
2011-05-24,Utah,7.708333,28,20,26,0.037917,0.048,11,41,0.95,1.05,10,0.5,0.1939585,0.315,10,1
2011-05-25,Utah,11.130435,26,6,25,0.041708,0.061,11,54,0.9677020000000001,1.15,7,0.5,0.232971,0.405,6,1.5
2011-05-26,Utah,7.208333,15,8,14,0.046458,0.059,10,50,1.39375,2.8,5,2,0.1866665,0.23500000000000001,7.5,1
2011-05-27,Utah,12.478261,35,5,33,0.036167,0.051,10,43,1.6245345000000002,4.85,9.5,4.5,0.2273185,0.4,5.5,1.5
2011-05-28,Utah,6.166667,14,5,13,0.0425,0.051,22,43,1.1,1.8,14,1.5,0.19437500000000002,0.225,2.5,1
2011-05-29,Utah,6.8,23,22,22,0.043882,0.052,0,44,0.9308335,1.15,2,0.5,0.2,0.30000000000000004,11,1
2011-05-30,Utah,8.208333,31,20,29,0.031917,0.044,11,37,0.9083335,0.95,7.5,0.5,0.208125,0.42500000000000004,21,1.5
2011-05-31,Utah,12.375,28,6,26,0.037875,0.055,10,47,0.9854164999999999,1.1,5.5,0.5,0.2554165,0.44499999999999995,3,1.5
2011-06-01,Utah,10.916667,35,6,33,0.051875,0.063,12,61,1.0645835,1.25,7,0.5,0.224375,0.44499999999999995,6,1.5
2011-06-02,Utah,5.625,16,5,15,0.041292,0.05,9,42,1.01875,1.4,14,0.5,0.147917,0.22,2.5,1
2011-06-03,Utah,13.5,41,22,39,0.033542,0.056,11,47,1.3958335,2.7,8,2,0.222708,0.44999999999999996,22,1.5
2011-06-04,Utah,17.875,38,20,36,0.039625,0.068,11,77,1.4104165,2.45,16,1.5,0.321458,0.495,10,2.5
2011-06-05,Utah,11.916667,32,20,30,0.032792,0.048,9,41,1.0645835,1.35,7,0.5,0.244375,0.53,10,2.5
2011-06-06,Utah,9.583333,26,5,25,0.038167,0.053,13,45,1.0291665,1.4,23,0.5,0.21437499999999998,0.49,3,1.5
2011-06-07,Utah,7.782609,16,6,15,0.034083,0.047,12,40,1.218323,2.25,17.5,1.5,0.1860145,0.28,5,1
2011-06-08,Utah,10.227273,26,6,25,0.037833,0.05,11,42,1.2809525,1.85,20,1.5,0.223939,0.375,5.5,1.5
2011-06-09,Utah,7.454545,26,5,25,0.03775,0.047,12,40,1.4717535000000002,5.199999999999999,1,5,0.18325750000000002,0.395,8.5,1.5
2011-06-10,Utah,10.041667,17,6,16,0.046208,0.063,11,61,1.28125,2.15,16.5,1.5,0.2064585,0.26,3,1
2011-06-11,Utah,9.5,24,22,23,0.038333,0.058,10,49,1.3458335,2.1,10,1.5,0.215625,0.345,21,1.5
2011-06-12,Utah,7.833333,19,0,18,0.044542,0.064,11,64,1.2666665,1.9500000000000002,19,1.5,0.2133335,0.315,0,1.5
2011-06-13,Utah,12.05,25,5,24,0.036941,0.055,12,47,1.1358335,2.1,8,1.5,0.23039700000000002,0.355,6,1.5
2011-06-14,Utah,8.708333,19,22,18,0.039458,0.053,10,45,1.2354165,1.7999999999999998,17,0.5,0.1872915,0.29000000000000004,2.5,1
2011-06-15,Utah,13.130435,26,6,25,0.042417,0.063,11,61,1.2835405,2.25,16,1.5,0.2224095,0.33999999999999997,6.5,1.5
2011-06-16,Utah,8.75,23,6,22,0.041125,0.051,11,43,1.3541664999999998,2.6500000000000004,4.5,2,0.16541650000000002,0.245,3,1
2011-06-17,Utah,7.478261,16,7,15,0.042333,0.052,9,44,1.2254654999999999,1.75,17,0.5,0.14375,0.23,8,1
2011-06-18,Utah,7.666667,21,5,20,0.045333,0.058,10,49,1.3083335,2.5999999999999996,22.5,1.5,0.19187500000000002,0.24000000000000002,3.5,1
2011-06-19,Utah,8.541667,22,20,21,0.022333,0.037,0,31,1.0375,1.35,8.5,0.5,0.215625,0.395,20,1.5
2011-06-20,Utah,6.869565,12,5,11,0.029542,0.042,11,36,1.1074535,1.4500000000000002,15,0.5,0.18996400000000002,0.32999999999999996,2.5,1.5
2011-06-21,Utah,10.681818,24,5,23,0.04225,0.06,11,51,1.2532465,2.8,16.5,2,0.2145455,0.35,6.5,1.5
2011-06-22,Utah,13.095238,31,5,29,0.0435,0.071,11,87,1.036905,1.25,7,0.5,0.22619050000000002,0.385,7,1.5
2011-06-23,Utah,11.333333,25,5,24,0.03975,0.061,10,54,1.19375,1.9,15.5,1.5,0.2189585,0.365,6,1.5
2011-06-24,Utah,9.583333,21,6,20,0.033042,0.048,10,41,1.3125,1.9500000000000002,12.5,1.5,0.193333,0.32,8,1.5
2011-06-25,Utah,9.434783,24,0,23,0.043,0.066,10,71,1.4571429999999999,2.6,12.5,2,0.2013045,0.245,0,1
2011-06-26,Utah,6.625,19,0,18,0.044083,0.054,10,46,1.2166665,1.7000000000000002,8,0.5,0.1620835,0.245,0,1
2011-06-27,Utah,8.375,26,6,25,0.049833,0.068,12,77,1.1708335,1.9000000000000001,7,1.5,0.1797915,0.27,6,1
2011-06-28,Utah,16.333333,30,21,28,0.029235,0.036,12,31,1.1797615000000001,3.0500000000000003,10.5,3,0.209841,0.32499999999999996,8.5,1.5
2011-06-29,Utah,14.541667,31,6,29,0.032167,0.044,10,37,1.0395835,1.15,8,0.5,0.2252085,0.35,7,1.5
2011-06-30,Utah,10.304348,28,8,26,0.033792,0.049,10,42,1.2692545000000002,1.85,5.5,1.5,0.1941305,0.365,9,1.5
2011-07-01,Utah,10.458333,19,7,18,0.039917,0.06,11,51,1.525,2.75,9.5,2,0.2008335,0.28,3,1
2011-07-02,Utah,12.708333,26,23,25,0.050875,0.083,11,119,1.84375,2.95,4,2,0.23249999999999998,0.36,13,1.5
2011-07-03,Utah,9.75,20,21,19,0.042042,0.058,9,49,1.0979165,2.1,22,1.5,0.1845835,0.26,11,1
2011-07-04,Utah,9.916667,17,10,16,0.038458,0.044,12,37,1.36875,4.35,22,3.5,0.215625,0.32499999999999996,11,1.5
2011-07-05,Utah,9.583333,34,9,32,0.039292,0.048,10,41,1.3229165,2.65,10.5,1.5,0.208125,0.39,8.5,1.5
2011-07-06,Utah,9.454545,20,5,19,0.043833,0.067,10,74,1.325325,3.05,14,3,0.1870835,0.24000000000000002,5.5,1
2011-07-07,Utah,15.210526,28,8,26,0.036,0.06,11,51,1.2233334999999999,1.8499999999999999,17,1.5,0.2218235,0.42500000000000004,8,1.5
2011-07-08,Utah,12,33,9,31,0.037125,0.059,12,50,1.5895834999999998,2.45,13,1.5,0.224583,0.35,7.5,1.5
2011-07-09,Utah,6.375,14,5,13,0.041792,0.051,10,43,1.4520835,2.3,20,1.5,0.15437499999999998,0.21000000000000002,3,1
2011-07-10,Utah,3.541667,11,18,10,0.041917,0.05,8,42,1.25,1.45,10.5,0.5,0.12666650000000002,0.24000000000000002,18,1
2011-07-11,Utah,6.666667,18,22,17,0.037917,0.052,10,44,1.3208335,1.45,4,0.5,0.17875,0.42500000000000004,12,1.5
2011-07-12,Utah,17.285714,36,23,34,0.016611,0.029,8,25,1.254762,1.4,7,0.5,0.226111,0.45999999999999996,7.5,1.5
2011-07-13,Utah,16.458333,37,7,35,0.028083,0.044,12,37,1.4229165,3.45,10,3,0.164792,0.245,3,1
2011-07-14,Utah,11.166667,22,20,21,0.029292,0.045,9,38,1.3666665,1.55,8,0.5,0.17375000000000002,0.305,5.5,1
2011-07-15,Utah,10.125,24,7,23,0.033458,0.05,10,42,1.4291665,1.6,7,0.5,0.18062499999999998,0.32,3,1
2011-07-16,Utah,12.666667,32,23,30,0.0335,0.053,10,45,1.39375,1.55,23,0.5,0.1908335,0.315,11.5,1
2011-07-17,Utah,9.166667,27,0,25,0.040917,0.052,10,44,1.35,1.55,10.5,0.5,0.1975,0.375,0,1.5
2011-07-18,Utah,7.916667,23,6,22,0.039292,0.049,11,42,1.2875,1.35,1,0.5,0.18333349999999998,0.27,3,1
2011-07-19,Utah,12.3,21,5,20,0.026125,0.04,12,34,1.4891665,2.5999999999999996,22.5,1.5,0.2,0.27,4,1
